Part Number,GPN,Datasheets,PCB_Footprint,Symbol_Name,Distributor,Distributor_Part_Number,Mfr Part Number,Value,Mfr,Description,Part_Type,Number of Circuits,Output Type,Slew Rate,Gain Bandwidth Product,-3db Bandwidth,Current - Input Bias,Voltage - Input Offset,Current - Supply,Current - Output / Channel,"Voltage - Supply, Single/Dual (±)",Operating Temperature,Mounting Type,Package / Case,Supplier Device Package
AMP06878,AMP06878,http://www.analog.com/media/en/technical-documentation/data-sheets/OP777_727_747.pdf,,,Digikey,OP777ARZ-ND,OP777ARZ,OP777ARZ,Analog Devices Inc,IC OPAMP GP 700KHZ RRO 8SOIC,General Purpose,1,Rail-to-Rail,0.2 V/µs,700kHz,-,5nA,30µV,300µA,30mA,"2.7 V ~ 30 V, ±1.35 V ~ 15 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP06879,AMP06879,http://www.analog.com/media/en/technical-documentation/data-sheets/OP97.pdf,,,Digikey,OP97FSZ-REELCT-ND,OP97FSZ-REEL,OP97FSZ-REEL,Analog Devices Inc,IC OPAMP GP 900KHZ 8SOIC,General Purpose,1,-,0.2 V/µs,-,900kHz,30pA,30µV,380µA,-,±2 V ~ 20 V,-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP06880,AMP06880,http://www.analog.com/media/en/technical-documentation/data-sheets/OP97.pdf,,,Digikey,OP97FSZ-REEL7CT-ND,OP97FSZ-REEL7,OP97FSZ-REEL7,Analog Devices Inc,IC OPAMP GP 900KHZ 8SOIC,General Purpose,1,-,0.2 V/µs,-,900kHz,30pA,30µV,380µA,-,±2 V ~ 20 V,-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP06881,AMP06881,http://www.linear.com/docs/2502,,,Digikey,LTC6800HMS8#PBF-ND,LTC6800HMS8#PBF,LTC6800HMS8#PBF,Linear Technology,IC OPAMP INSTR 200KHZ RRO 8MSOP,Instrumentation,1,Rail-to-Rail,0.2 V/µs,200kHz,-,4nA,100µV,1.3mA,-,2.7 V ~ 5.5 V,-40°C ~ 125°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP06882,AMP06882,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8641_8642_8643.pdf,,,Digikey,AD8642ARMZ-REELCT-ND,AD8642ARMZ-REEL,AD8642ARMZ-REEL,Analog Devices Inc,IC OPAMP JFET 3.5MHZ RRO 8MSOP,J-FET,2,Rail-to-Rail,3 V/µs,3.5MHz,-,0.25pA,70µV,200µA,12mA,"5 V ~ 26 V, ±2.5 V ~ 13 V",-40°C ~ 125°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP06883,AMP06883,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8011.pdf,,,Digikey,AD8011ARZ-REEL7CT-ND,AD8011ARZ-REEL7,AD8011ARZ-REEL7,Analog Devices Inc,IC OPAMP CFA 400MHZ 8SOIC,Current Feedback,1,-,3500 V/µs,-,400MHz,5µA,2mV,1.3mA,30mA,"3 V ~ 12 V, ±1.5 V ~ 6 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP06884,AMP06884,http://www.analog.com/media/en/technical-documentation/data-sheets/ADA4841-1_4841-2.pdf,,,Digikey,ADA4841-2YRZ-R7CT-ND,ADA4841-2YRZ-R7,ADA4841-2YRZ-R7,Analog Devices Inc,IC OPAMP VFB 80MHZ RRO 8SOIC,Voltage Feedback,2,Rail-to-Rail,13 V/µs,-,80MHz,3µA,40µV,1.2mA,60mA,"2.7 V ~ 12 V, ±1.35 V ~ 6 V",-40°C ~ 125°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP06885,AMP06885,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8352.pdf,,,Digikey,AD8352ACPZ-R7CT-ND,AD8352ACPZ-R7,AD8352ACPZ-R7,Analog Devices Inc,IC OPAMP RF/IF DIFF 16LFCSP,RF/IF Differential,1,Differential,8000 V/µs,-,2.2GHz,75nA,-,37mA,-,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,"16-VQFN Exposed Pad, CSP",16-LFCSP-VQ (3x3)
AMP06886,AMP06886,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8676.pdf,,,Digikey,AD8676ARZ-ND,AD8676ARZ,AD8676ARZ,Analog Devices Inc,IC OPAMP GP 10MHZ RRO 8SOIC,General Purpose,2,Rail-to-Rail,2.5 V/µs,10MHz,-,2nA,12µV,2.7mA,20mA,"10 V ~ 36 V, ±5 V ~ 18 V",-40°C ~ 125°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP06887,AMP06887,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8676.pdf,,,Digikey,AD8676ARMZ-ND,AD8676ARMZ,AD8676ARMZ,Analog Devices Inc,IC OPAMP GP 10MHZ RRO 8MSOP,General Purpose,2,Rail-to-Rail,2.5 V/µs,10MHz,-,2nA,12µV,2.7mA,20mA,"10 V ~ 36 V, ±5 V ~ 18 V",-40°C ~ 125°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP06888,AMP06888,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8132.pdf,,,Digikey,AD8132ARMZ-ND,AD8132ARMZ,AD8132ARMZ,Analog Devices Inc,IC OPAMP DIFF 360MHZ 8MSOP,Differential,1,Differential,1200 V/µs,-,360MHz,3µA,1mV,12mA,70mA,"2.7 V ~ 11 V, ±1.35 V ~ 5.5 V",-40°C ~ 125°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP06889,AMP06889,http://www.linear.com/docs/25174,,,Digikey,LTC6102HMS8#PBF-ND,LTC6102HMS8#PBF,LTC6102HMS8#PBF,Linear Technology,IC OPAMP CURR SENSE 200KHZ 8MSOP,Current Sense,1,-,-,200kHz,-,60pA,3µV,420µA,1mA,4 V ~ 60 V,-40°C ~ 125°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP06890,AMP06890,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8275.pdf,,,Digikey,AD8275ARMZ-R7CT-ND,AD8275ARMZ-R7,AD8275ARMZ-R7,Analog Devices Inc,IC OPAMP DIFF 15MHZ RRO 8MSOP,Differential,1,Rail-to-Rail,25 V/µs,-,15MHz,-,300µV,1.9mA,30mA,3.3 V ~ 15 V,-40°C ~ 85°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP06891,AMP06891,http://www.analog.com/media/en/technical-documentation/data-sheets/ADA4528-1_4528-2.pdf,,,Digikey,ADA4528-2ARMZ-ND,ADA4528-2ARMZ,ADA4528-2ARMZ,Analog Devices Inc,IC OPAMP ZRO-DRFT 4MHZ RRO 8MSOP,Zero-Drift,2,Rail-to-Rail,0.5 V/µs,4MHz,6.5MHz,125pA,0.3µV,1.5mA,40mA,"2.2 V ~ 5.5 V, ±1.1 V ~ 2.75 V",-40°C ~ 125°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP06892,AMP06892,http://www.linear.com/docs/30000,,,Digikey,LT1999IMS8-20#PBF-ND,LT1999IMS8-20#PBF,LT1999IMS8-20#PBF,Linear Technology,IC OPAMP CURR SENSE 2MHZ 8MSOP,Current Sense,1,Buffered,3 V/µs,-,2MHz,137.5µA,500µV,5.8mA,40mA,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP06893,AMP06893,http://www.linear.com/docs/30000,,,Digikey,LT1999IMS8-10#PBF-ND,LT1999IMS8-10#PBF,LT1999IMS8-10#PBF,Linear Technology,IC OPAMP CURR SENSE 2MHZ 8MSOP,Current Sense,1,Buffered,3 V/µs,-,2MHz,137.5µA,500µV,5.8mA,40mA,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP06894,AMP06894,http://www.linear.com/docs/29736,,,Digikey,LTC6252HS6#TRMPBFCT-ND,LTC6252HS6#TRMPBF,LTC6252HS6#TRMPBF,Linear Technology,IC OPAMP GP 720MHZ RRO TSOT23-6,General Purpose,1,Rail-to-Rail,280 V/µs,720MHz,400MHz,1.4µA,100µV,4.25mA,100mA,"2.5 V ~ 5.25 V, ±1.25 V ~ 2.625 V",-40°C ~ 125°C,Surface Mount,"SOT-23-6 Thin, TSOT-23-6",TSOT-23-6
AMP06895,AMP06895,http://www.analog.com/media/en/technical-documentation/data-sheets/OP777_727_747.pdf,,,Digikey,OP727ARUZ-ND,OP727ARUZ,OP727ARUZ,Analog Devices Inc,IC OPAMP GP 700KHZ RRO 8TSSOP,General Purpose,2,Rail-to-Rail,0.2 V/µs,700kHz,-,5nA,30µV,320µA,30mA,"2.7 V ~ 30 V, ±1.35 V ~ 15 V",-40°C ~ 85°C,Surface Mount,"""8-TSSOP (0.173"""", 4.40mm Width)""",8-TSSOP
AMP06896,AMP06896,http://www.analog.com/media/en/technical-documentation/data-sheets/OP777_727_747.pdf,,,Digikey,OP727ARZ-ND,OP727ARZ,OP727ARZ,Analog Devices Inc,IC OPAMP GP 700KHZ RRO 8SOIC,General Purpose,2,Rail-to-Rail,0.2 V/µs,700kHz,-,5nA,30µV,320µA,30mA,"2.7 V ~ 30 V, ±1.35 V ~ 15 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP06897,AMP06897,http://www.linear.com/docs/3184,,,Digikey,LT1801IS8#PBF-ND,LT1801IS8#PBF,LT1801IS8#PBF,Linear Technology,IC OPAMP GP 70MHZ RRO 8SO,General Purpose,2,Rail-to-Rail,25 V/µs,80MHz,-,25nA,75µV,1.6mA,50mA,"2.3 V ~ 12.6 V, ±1.15 V ~ 6.3 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SO
AMP06898,AMP06898,http://www.linear.com/docs/2669,,,Digikey,LT1490AIS8#PBF-ND,LT1490AIS8#PBF,LT1490AIS8#PBF,Linear Technology,IC OPAMP GP 200KHZ RRO 8SO,General Purpose,2,Rail-to-Rail,0.07 V/µs,200kHz,-,1nA,150µV,50µA,25mA,"2 V ~ 44 V, ±1 V ~ 22 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SO
AMP06899,AMP06899,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8222.pdf,,,Digikey,AD8222ACPZ-R7CT-ND,AD8222ACPZ-R7,AD8222ACPZ-R7,Analog Devices Inc,IC OPAMP INSTR 1.2MHZ 16LFCSP,Instrumentation,2,-,2 V/µs,-,1.2MHz,500pA,120µV,900µA,18mA,"4.6 V ~ 36 V, ±2.3 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"16-VQFN Exposed Pad, CSP",16-LFCSP-VQ (4x4)
AMP06900,AMP06900,http://www.analog.com/media/en/technical-documentation/data-sheets/AD820.pdf,,,Digikey,AD820ARZ-ND,AD820ARZ,AD820ARZ,Analog Devices Inc,IC OPAMP JFET 1.8MHZ RRO 8SOIC,J-FET,1,Rail-to-Rail,3 V/µs,1.8MHz,1.9MHz,2pA,400µV,700µA,20mA,"5 V ~ 36 V, ±2.5 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP06901,AMP06901,http://www.analog.com/media/en/technical-documentation/data-sheets/AD820.pdf,,,Digikey,AD820ARMZ-ND,AD820ARMZ,AD820ARMZ,Analog Devices Inc,IC OPAMP JFET 1.9MHZ RRO 8MSOP,J-FET,1,Rail-to-Rail,3 V/µs,1.9MHz,-,2pA,400µV,700µA,20mA,"5 V ~ 36 V, ±2.5 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP06902,AMP06902,http://www.linear.com/docs/5087,,,Digikey,LT1990AIS8#PBF-ND,LT1990AIS8#PBF,LT1990AIS8#PBF,Linear Technology,IC OPAMP DIFF 105KHZ RRO 8SO,Differential,1,Rail-to-Rail,0.55 V/µs,-,105kHz,-,900µV,140µA,22mA,"2.7 V ~ 36 V, ±1.35 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SO
AMP06903,AMP06903,http://www.analog.com/media/en/technical-documentation/data-sheets/AD620.pdf,,,Digikey,AD620ARZ-REEL7CT-ND,AD620ARZ-REEL7,AD620ARZ-REEL7,Analog Devices Inc,IC OPAMP INSTR 1MHZ 8SOIC,Instrumentation,1,-,1.2 V/µs,-,1MHz,500pA,30µV,900µA,18mA,"4.6 V ~ 36 V, ±2.3 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP06904,AMP06904,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8671_8672_8674.pdf,,,Digikey,AD8672ARZ-ND,AD8672ARZ,AD8672ARZ,Analog Devices Inc,IC OPAMP GP 10MHZ 8SOIC,General Purpose,2,-,4 V/µs,10MHz,-,3nA,20µV,3mA,20mA,"10 V ~ 36 V, ±5 V ~ 18 V",-40°C ~ 125°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP06905,AMP06905,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8671_8672_8674.pdf,,,Digikey,AD8672ARMZ-ND,AD8672ARMZ,AD8672ARMZ,Analog Devices Inc,IC OPAMP GP 10MHZ 8MSOP,General Purpose,2,-,4 V/µs,10MHz,-,3nA,20µV,3mA,20mA,"10 V ~ 36 V, ±5 V ~ 18 V",-40°C ~ 125°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP06906,AMP06906,http://www.analog.com/media/en/technical-documentation/data-sheets/ADL5565.pdf,,,Digikey,ADL5565ACPZ-R7CT-ND,ADL5565ACPZ-R7,ADL5565ACPZ-R7,Analog Devices Inc,IC OPAMP RF/IF DIFF 7GHZ 16LFCSP,RF/IF Differential,1,-,11000 V/µs,-,7GHz,5µA,-,80mA,30mA,2.8 V ~ 5.2 V,-40°C ~ 85°C,Surface Mount,"16-WFQFN Exposed Pad, CSP",16-LFCSP-WQ (3x3)
AMP06907,AMP06907,http://www.linear.com/docs/2472,,,Digikey,LT1077IS8#PBF-ND,LT1077IS8#PBF,LT1077IS8#PBF,Linear Technology,IC OPAMP GP 230KHZ 8SO,General Purpose,1,-,0.12 V/µs,230kHz,-,7nA,30µV,56µA,-,"2.2 V ~ 30 V, ±1.1 V ~ 15 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SO
AMP06908,AMP06908,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8665_AD8666_AD8668.pdf,,,Digikey,AD8668ARUZ-ND,AD8668ARUZ,AD8668ARUZ,Analog Devices Inc,IC OPAMP GP 4MHZ RRO 14TSSOP,General Purpose,4,Rail-to-Rail,3.5 V/µs,4MHz,-,0.2pA,600µV,1.15mA,140mA,"5 V ~ 16 V, ±2.5 V ~ 8 V",-40°C ~ 125°C,Surface Mount,"""14-TSSOP (0.173"""", 4.40mm Width)""",14-TSSOP
AMP06909,AMP06909,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8571_8572_8574.pdf,,,Digikey,AD8572ARZ-ND,AD8572ARZ,AD8572ARZ,Analog Devices Inc,IC OPAMP CHOPPER 1.5MHZ 8SOIC,Chopper (Zero-Drift),2,Rail-to-Rail,0.4 V/µs,1.5MHz,-,10pA,1µV,850µA,30mA,2.7 V ~ 5.5 V,-40°C ~ 125°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP06911,AMP06911,http://www.linear.com/docs/2098,,,Digikey,LT6231IDD#PBF-ND,LT6231IDD#PBF,LT6231IDD#PBF,Linear Technology,IC OPAMP GP 215MHZ RRO 8DFN,General Purpose,2,Rail-to-Rail,70 V/µs,215MHz,-,5µA,75µV,3.3mA,30mA,"3 V ~ 12.6 V, ±1.5 V ~ 6.3 V",-40°C ~ 85°C,Surface Mount,8-WFDFN Exposed Pad,8-DFN (3x3)
AMP06912,AMP06912,http://www.analog.com/media/en/technical-documentation/data-sheets/AD817.pdf,,,Digikey,AD817ARZ-ND,AD817ARZ,AD817ARZ,Analog Devices Inc,IC OPAMP GP 50MHZ 8SOIC,General Purpose,1,-,350 V/µs,50MHz,50MHz,3.3µA,500µV,7mA,50mA,"5 V ~ 36 V, ±2.5 V ~ 18 V",-45°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP06913,AMP06913,http://www.analog.com/media/en/technical-documentation/data-sheets/AD627.pdf,,,Digikey,AD627BRZ-R7CT-ND,AD627BRZ-R7,AD627BRZ-R7,Analog Devices Inc,IC OPAMP INSTR 80KHZ RRO 8SOIC,Instrumentation,1,Rail-to-Rail,0.06 V/µs,-,80kHz,2nA,25µV,60µA,25mA,"2.2 V ~ 36 V, ±1.1 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP06914,AMP06914,http://www.analog.com/media/en/technical-documentation/data-sheets/OP282_482.pdf,,,Digikey,OP282GSZ-REEL7CT-ND,OP282GSZ-REEL7,OP282GSZ-REEL7,Analog Devices Inc,IC OPAMP JFET 4MHZ 8SOIC,J-FET,2,-,9 V/µs,4MHz,-,3pA,200µV,210µA,12mA,"9 V ~ 36 V, ±4.5 V ~ 18 V",-40°C ~ 90°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP06915,AMP06915,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8021.pdf,,,Digikey,AD8021ARMZ-ND,AD8021ARMZ,AD8021ARMZ,Analog Devices Inc,IC OPAMP VFB 560MHZ 8MSOP,Voltage Feedback,1,-,460 V/µs,-,560MHz,7.5µA,400µV,7.8mA,70mA,"4.5 V ~ 24 V, ±2.25 V ~ 12 V",-40°C ~ 85°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP06916,AMP06916,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8021.pdf,,,Digikey,AD8021ARZ-ND,AD8021ARZ,AD8021ARZ,Analog Devices Inc,IC OPAMP VFB 560MHZ 8SOIC,Voltage Feedback,1,-,460 V/µs,-,560MHz,7.5µA,400µV,7.8mA,70mA,"4.5 V ~ 24 V, ±2.25 V ~ 12 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP06917,AMP06917,http://www.linear.com/docs/8817,,,Digikey,LTC6240HVIS5#TRMPBFCT-ND,LTC6240HVIS5#TRMPBF,LTC6240HVIS5#TRMPBF,Linear Technology,IC OPAMP GP 18MHZ RRO TSOT23-5,General Purpose,1,Rail-to-Rail,10 V/µs,18MHz,-,0.5pA,60µV,2.7mA,35mA,"2.8 V ~ 11 V, ±1.4 V ~ 5.5 V",-40°C ~ 85°C,Surface Mount,"SOT-23-5 Thin, TSOT-23-5",TSOT-23-5
AMP06918,AMP06918,http://www.analog.com/media/en/technical-documentation/data-sheets/ADA4000-1_4000-2_4000-4.pdf,,,Digikey,ADA4000-2ARMZ-ND,ADA4000-2ARMZ,ADA4000-2ARMZ,Analog Devices Inc,IC OPAMP JFET 5MHZ 8MSOP,J-FET,2,-,20 V/µs,5MHz,-,5pA,200µV,1.35mA,28mA,"8 V ~ 36 V, ±4 V ~ 18 V",-40°C ~ 125°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP06919,AMP06919,http://www.analog.com/media/en/technical-documentation/data-sheets/ADA4004-1_4004-2_4004-4.pdf,,,Digikey,ADA4004-2ARZ-R7CT-ND,ADA4004-2ARZ-R7,ADA4004-2ARZ-R7,Analog Devices Inc,IC OPAMP GP 12MHZ 8SOIC,General Purpose,2,-,2.7 V/µs,12MHz,-,40nA,40µV,2.2mA,10mA,"10 V ~ 36 V, ±5 V ~ 18 V",-40°C ~ 125°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP06920,AMP06920,http://www.analog.com/media/en/technical-documentation/data-sheets/ADA4004-1_4004-2_4004-4.pdf,,,Digikey,ADA4004-2ARMZ-R7CT-ND,ADA4004-2ARMZ-R7,ADA4004-2ARMZ-R7,Analog Devices Inc,IC OPAMP GP 12MHZ 8MSOP,General Purpose,2,-,2.7 V/µs,12MHz,-,40nA,40µV,2.2mA,10mA,"10 V ~ 36 V, ±5 V ~ 18 V",-40°C ~ 125°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP06921,AMP06921,http://cds.linear.com/docs/en/datasheet/6362fa.pdf,,,Digikey,LTC6362IMS8#PBF-ND,LTC6362IMS8#PBF,LTC6362IMS8#PBF,Linear Technology,IC OPAMP DIFF 180MHZ RRO 8MSOP,Differential,1,"Differential, Rail-to-Rail",45 V/µs,180MHz,34MHz,75nA,75µV,1mA,35mA,"2.8 V ~ 5.25 V, ±1.4 V ~ 2.625 V",-40°C ~ 85°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP06922,AMP06922,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8615_8616_8618.pdf,,,Digikey,AD8616ARMZ-ND,AD8616ARMZ,AD8616ARMZ,Analog Devices Inc,IC OPAMP GP 24MHZ RRO 8MSOP,General Purpose,2,Rail-to-Rail,12 V/µs,24MHz,-,0.2pA,23µV,1.7mA,150mA,"2.7 V ~ 5.5 V, ±1.35 V ~ 2.75 V",-40°C ~ 125°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP06923,AMP06923,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8205.pdf,,,Digikey,AD8205YRZ-ND,AD8205YRZ,AD8205YRZ,Analog Devices Inc,IC OPAMP DIFF 50KHZ 8SOIC,Differential,1,-,0.5 V/µs,-,50kHz,-,2mV,2mA,-,4.5 V ~ 5.5 V,-40°C ~ 125°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SOIC
AMP06924,AMP06924,http://media.digikey.com/pdf/Data%20Sheets/Analog%20Devices%20PDFs/OP200.pdf,,,Digikey,OP200GSZ-REELCT-ND,OP200GSZ-REEL,OP200GSZ-REEL,Analog Devices Inc,IC OPAMP GP 500KHZ 16SOIC,General Purpose,2,-,0.15 V/µs,500kHz,-,100pA,80µV,570µA,-,±3 V ~ 18 V,-40°C ~ 85°C,Surface Mount,"""16-SOIC (0.295"""", 7.50mm Width)""",16-SOIC
AMP06925,AMP06925,http://www.analog.com/media/en/technical-documentation/data-sheets/ADA4084-2_4084-4.pdf,,,Digikey,ADA4084-2ACPZ-R7-CT-ND,ADA4084-2ACPZ-R7,ADA4084-2ACPZ-R7,Analog Devices Inc,IC OPAMP GP 15.9MHZ RRO 8LFCSP,General Purpose,2,Rail-to-Rail,4.6 V/µs,15.9MHz,13.9MHz,140nA,130µV,625µA,30mA,"3 V ~ 30 V, ±1.5 V ~ 15 V",-40°C ~ 125°C,Surface Mount,"8-WFDFN Exposed Pad, CSP",8-LFCSP-WD (3x3)
AMP06926,AMP06926,http://www.analog.com/media/en/technical-documentation/data-sheets/AD8538_8539.pdf,,,Digikey,AD8539ARMZ-REELCT-ND,AD8539ARMZ-REEL,AD8539ARMZ-REEL,Analog Devices Inc,IC OPAMP CHOPPER 430KHZ 8MSOP,Chopper (Zero-Drift),2,-,0.4 V/µs,430kHz,-,15pA,5µV,170µA,25mA,"2.7 V ~ 5.5 V, ±1.35 V ~ 2.75 V",-40°C ~ 125°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP06927,AMP06927,http://www.analog.com/media/en/technical-documentation/data-sheets/ADA4096-2_4096-4.pdf,,,Digikey,ADA4096-4ARUZ-R7CT-ND,ADA4096-4ARUZ-R7,ADA4096-4ARUZ-R7,Analog Devices Inc,IC OPAMP GP 786KHZ RRO 14TSSOP,General Purpose,4,Rail-to-Rail,0.4 V/µs,786kHz,1.52MHz,3nA,35µV,60µA,10mA,"3 V ~ 30 V, ±1.5 V ~ 15 V",-40°C ~ 125°C,Surface Mount,"""14-TSSOP (0.173"""", 4.40mm Width)""",14-TSSOP
AMP06928,AMP06928,http://www.linear.com/docs/3940,,,Digikey,LT1636IMS8#PBF-ND,LT1636IMS8#PBF,LT1636IMS8#PBF,Linear Technology,IC OPAMP GP 220KHZ RRO 8MSOP,General Purpose,1,Rail-to-Rail,0.075 V/µs,220kHz,-,4nA,100µV,50µA,30mA,"2.7 V ~ 44 V, ±1.35 V ~ 22 V",-40°C ~ 85°C,Surface Mount,"""8-TSSOP, 8-MSOP (0.118"""", 3.00mm Width)""",8-MSOP
AMP06929,AMP06929,http://www.analog.com/media/en/technical-documentation/data-sheets/ADA4932-1_4932-2.pdf,,,Digikey,ADA4932-1YCPZ-R7CT-ND,ADA4932-1YCPZ-R7,ADA4932-1YCPZ-R7,Analog Devices Inc,IC OPAMP DIFF 560MHZ 16LFCSP,Differential,1,Differential,2800 V/µs,-,560MHz,2.5µA,500µV,9.6mA,80mA,"3 V ~ 11 V, ±1.5 V ~ 5.5 V",-40°C ~ 105°C,Surface Mount,"16-VFQFN Exposed Pad, CSP",16-LFCSP-VQ (3x3)
AMP06930,AMP06930,http://www.linear.com/docs/2626,,,Digikey,LT6011IS8#PBF-ND,LT6011IS8#PBF,LT6011IS8#PBF,Linear Technology,IC OPAMP GP 350KHZ RRO 8SO,General Purpose,2,Rail-to-Rail,0.11 V/µs,350kHz,-,150pA,35µV,260µA,20mA,"2.7 V ~ 36 V, ±1.35 V ~ 18 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SO
AMP06931,AMP06931,http://www.linear.com/docs/1104,,,Digikey,LT1097S8#PBF-ND,LT1097S8#PBF,LT1097S8#PBF,Linear Technology,IC OPAMP GP 700KHZ 8SO,General Purpose,1,-,0.2 V/µs,700kHz,-,50pA,10µV,350µA,-,"2.4 V ~ 40 V, ±1.2 V ~ 20 V",-40°C ~ 85°C,Surface Mount,"""8-SOIC (0.154"""", 3.90mm Width)""",8-SO
AMP06932,AMP06932,http://www.linear.com/docs/8737,,,Digikey,LT1994IDD#PBF-ND,LT1994IDD#PBF,LT1994IDD#PBF,Linear Technology,IC OPAMP DIFF 70MHZ RRO 8DFN,Differential,1,Rail-to-Rail,65 V/µs,70MHz,-,18µA,3mV,14.8mA,85mA,"2.375 V ~ 12.6 V, ±1.188 V ~ 6.3 V",-40°C ~ 85°C,Surface Mount,8-WFDFN Exposed Pad,8-DFN (3x3)
